,image,image_size,gt_box_index,gt_class_idx,gt_class,pred_box_index,pred_class_idx,pred_class,conf,iou,xc,yc,w,h,true
0,2505081740100000_jpg.rf.ba5db465c9dffea566e7afebe5c7052a,"(1376, 2048)",0,7,skip,1,3,formwork,0.6146878600120544,0.29116692413170636,1425.0,519.0,69.0,26.0,False
1,2505081740100000_jpg.rf.ba5db465c9dffea566e7afebe5c7052a,"(1376, 2048)",1,1,concrete,0,2,concrete,0.9557406306266785,0.8688783570300158,981.0,446.0,25.0,42.0,True
2,2509091215060000_jpg.rf.4aacddd3ce3822bc4b942b086b66c2e9,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
3,2505211310060000_jpg.rf.0aca15e8489ba2dbe5b6eff09f6a9e15,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
4,2505311110060000_jpg.rf.4299f7a3936b3ff9f7e1db2bbbb864fd,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
5,2606041000060000_jpg.rf.a98e2031a99d95fb1136743bfaed5002,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
6,2509091445060000_jpg.rf.eba86535660bd55e6d06a61f87fd1de3,"(1376, 2048)",0,0,beams,0,0,background,0.31393107771873474,0.018822447927176522,1234.0,684.0,23.0,152.0,False
7,2506040820100000_jpg.rf.a3c80a918b0fa3fa9fd49f4fb266157b,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
8,2504291600060000_jpg.rf.c0e95ba4ba874e2c9d84331246576544,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
9,2503101500060000_jpg.rf.c2a55b7b0cac86726be3958aefa5c55b,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
10,2503110830100000_jpg.rf.7f597f86c1fa49b6037fc0b01af0b5d4,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
11,2505301240060000_jpg.rf.3eb165070e02b75e845fbb276400b065,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
12,2505301110060000-1-_jpg.rf.edc6dcc49fd78cdc34cc7684705955df,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
13,2503110810100000_jpg.rf.b9b0d50ee1073ed09de8c75d584bc802,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
14,2504291020060000_jpg.rf.8ff3e8efb99f84137b404290d76bdee3,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
15,2503111250060000_jpg.rf.7706001005d7f0512e9bf1296fe1d328,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
16,2607271630060000_jpg.rf.aafc2517192713e0d56f6794eb14be8c,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
17,2507190830060000_jpg.rf.eede2d21a4a7ef5ec19e67bf2849e8f7,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
18,2503110840100000_jpg.rf.a90ef3eb9a961a9e470e57f0e2d246e2,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
19,2606040845060000_jpg.rf.37c66e248b56bb17fb17bc69475564c6,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
20,2504291610060000_jpg.rf.4ffd2a5b5de17a189dce5dd3cca7c362,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
21,2503101340060000_jpg.rf.40bbe3cecc5295e13e999baa63791d05,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
22,2503080940060000_jpg.rf.7280a86706fc555c6ddf686f1724ce6d,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
23,2609091315060000_jpg.rf.8818cd6c0a2679160c857fa174c7cc06,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
24,2504291420060000_jpg.rf.82f1299f01d2c635d755bb13061131ae,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
25,2510141150090000_jpg.rf.706db341e7cf9d8fca6c1f6bbed3e129,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
26,2506130800060000_jpg.rf.e9d45dae5ddb9012454184c20458cd44,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
27,2504291630060000_jpg.rf.41aa98d30be8afd35723f1bb4f2c1180,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
28,2504290840060000_jpg.rf.8d409af6bce122e90806082f00682714,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
29,2504291710060000_jpg.rf.bedf65afd1c69882a478b264ea44a7b6,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
30,2605260830070000_jpg.rf.d4ae6153503606c2eeca73677ad086d0,"(1376, 2048)",0,7,skip,0,1,beams,0.5114380717277527,0.8599351799258245,1586.0,315.0,191.0,76.0,False
31,2505081720060000_jpg.rf.e116f4f8a78ad4b0f55f30f2a79eed61,"(1376, 2048)",0,1,concrete,0,2,concrete,0.6608347296714783,0.8033362598770851,542.0,434.0,46.0,72.0,True
32,2608240845060000_jpg.rf.c4c6c1b9bf6a7c5901950eceec745ca1,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
33,2505081020090000_jpg.rf.e26fac8e4f62ab1ad4e06d3d274c4731,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
34,2505080920100000_jpg.rf.0dd8229aacf64e379b3a7575b9049f8a,"(1376, 2048)",0,4,plant,0,5,plant,0.6852250695228577,0.20448007545390237,902.0,882.0,48.0,89.0,True
35,2503080930060000_jpg.rf.d34436a66ed962ff7e6c06e2af749640,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
36,2507190820050000_jpg.rf.086af06c8f0a3d2528f8ba9a238fb4ba,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
37,2510141600100000_jpg.rf.a1c9027f6452cc05021a969170c37cb1,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
38,2505081650100000_jpg.rf.275cb2cbaff08509eca14abb28de928e,"(1376, 2048)",1,1,concrete,0,2,concrete,0.7342222332954407,0.8023715415019763,1111.0,404.0,19.0,29.0,True
39,2503121020060000_jpg.rf.db5442b59538ea432be0c9ec92754a95,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
40,2504300820060000_jpg.rf.7b12a9b631a43962c1fa7d11102c8900,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
41,2505091010060000_jpg.rf.57d85c33080bd945d74be8d03001680b,"(1376, 2048)",0,5,precast,0,5,plant,0.5725812315940857,0.7041284403669725,1122.0,1023.0,23.0,79.0,False
42,2505301040060000_jpg.rf.2db236ed2e05c5605518024a418314cd,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
43,2502191720004493_jpg.rf.249dbdf50e9d19a1b885c7f8ef572db6,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
44,2504291400060000_jpg.rf.563a49c235dada4d670e6bb09fae4947,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
45,2601091320100000_jpg.rf.fbd51c5e83fb1697dbb2f41740892f5f,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
46,2504291540060000_jpg.rf.e2694cf463394a05c50f5f9b7674468c,"(1376, 2048)",0,7,skip,1,8,skip,0.6368041634559631,0.726261486377557,795.0,756.0,66.0,80.0,True
47,2503111320060000_jpg.rf.e911c6c794d8e8bec0cc3f4799169a63,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
48,2503101330060000_jpg.rf.1c9bf3eb2e5b0386e3b4af412b54c590,"(1376, 2048)",0,2,formwork,1,3,formwork,0.7012481689453125,0.567035539476483,1012.0,1001.0,56.0,80.0,True
49,2506091050060000_jpg.rf.5840cb71ac3661f285cdb6826ae5cfa0,"(1376, 2048)",1,6,rebar,0,3,formwork,0.6787826418876648,0.7130620985010707,1055.0,257.0,56.0,21.0,False
50,2606041130060000_jpg.rf.7dd533f86c93eb05981279bc080798dd,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
51,2507190850060000_jpg.rf.35243cf30ed76b29d5bd1c5d3bf13021,"(1376, 2048)",0,1,concrete,0,2,concrete,0.5580912828445435,0.47496820441669557,1094.0,626.0,79.0,78.0,True
52,2504281600060000_jpg.rf.b29b250c4e19e1be400a2c2ae803219b,"(1376, 2048)",0,4,plant,0,5,plant,0.4942110478878021,0.7540805223068553,1548.0,460.0,51.0,65.0,True
53,2510141050100000_jpg.rf.672fb7c2789de067778e527aad494a8b,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
54,2507170940060000_jpg.rf.41c3ab5e3c32683e73b979b3f8932fb5,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
55,2502181630004409_jpg.rf.99cf20a40cbd1d3107e30a0e916af346,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
56,2504300740060000_jpg.rf.982c528cb42da03b006cea3a6cb21431,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
57,2505081520060000_jpg.rf.d9f508647fd4216ad25ccb6c903c6db1,"(1376, 2048)",0,5,precast,0,6,precast,0.8139846324920654,0.7312186978297162,1043.0,446.0,73.0,70.0,True
58,2504291430060000_jpg.rf.39358f4dd8dd20221412556bb902cfdb,"(1376, 2048)",0,6,rebar,0,5,plant,0.958236813545227,0.1395863707543604,1091.0,676.0,46.0,41.0,False
59,2507171600060000_jpg.rf.7cbf2207c94cda99de010b2e145ffefe,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
60,2509091330060000_jpg.rf.6d9a6791ab79ae282751f993aeb35b7c,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
61,2503061230060000_jpg.rf.ba2128f7331c1ad48ea0d6dbfc474096,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
62,2503081250060000_jpg.rf.d652c8a8900d8c67e230814b931f3216,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
63,2505071440100000_jpg.rf.164e4d710b67a63aaffa7faf58d0e5dd,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
64,2505081430060000_jpg.rf.c72f124179835845ffbc400dab59cab4,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
65,2506260800060000_jpg.rf.80b9fc1c12fa9e8801f6e6a2b1048038,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
66,2505081640090000_jpg.rf.8bf123a1040c47ded09a5ac913887174,"(1376, 2048)",1,1,concrete,0,2,concrete,0.8899906873703003,0.43919176515440334,1067.0,423.0,18.0,16.0,True
67,2503081030060000_jpg.rf.a5d82e7bed7166dc44d481edfad9bf7d,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
68,2503081130060000_jpg.rf.a80a1ad0b02ce08c642acd4477e0edeb,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
69,2503081150060000_jpg.rf.2fd08c6aac014f9e76971256c6c1102f,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
70,2608210930060000_jpg.rf.60de70ee980508487e8b168ce09d6931,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
71,2505301210060000_jpg.rf.051a07387135e9680e8942af310f6c56,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
72,2505310750060000_jpg.rf.626b81f30c3701121f35d4b5b64153be,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
73,2503081210060000_jpg.rf.8a1cd468a6d6286cad5200a892762014,"(1376, 2048)",-1,-1,,-1,-1,,,,,,,,False
